Region,Salary,Year
KEP. BANGKA BELITUNG,34984790,2023
KEP. RIAU,32791940,2023
DKI JAKARTA,49017980,2023
JAWA BARAT,198667017,2023
JAWA TENGAH,195816969,2023
DI YOGYAKARTA,198178239,2023
JAWA TIMUR,20402443,2023
BANTEN,266128011,2023
BALI,271367228,2023
NUSA TENGGARA BARAT,23714070,2023
NUSA TENGGARA TIMUR,21239940,2023
KALIMANTAN BARAT,260860175,2023
KALIMANTAN TENGAH,31810130,2023
KALIMANTAN SELATAN,314997765,2023
KALIMANTAN TIMUR,320139604,2023
KALIMANTAN UTARA,325170267,2023
SULAWESI UTARA,34850000,2023
SULAWESI TENGAH,25995460,2023
SULAWESI SELATAN,33851450,2023
SULAWESI TENGGARA,275898454,2023
GORONTALO,29893500,2023
SULAWESI BARAT,287179482,2023
MALUKU,281282766,2023
MALUKU UTARA,29767200,2023
PAPUA BARAT,32820000,2023
PAPUA,38646960,2023
INDONESIA,29233094,2023
ACEH,34606720,2024
SUMATRA UTARA,28099150,2024
SUMATRA BARAT,28114490,2024
KEP. RIAU,34024920,2024
KEP. BANGKA BELITUNG,36400000,2024
RIAU,32946250,2024
BENGKULU,25070790,2024
SUMATRA SELATAN,34568740,2024
JAMBI,30371210,2024
LAMPUNG,27164970,2024
BANTEN,27278120,2024
DKI JAKARTA,50673810,2024
JAWA BARAT,20574950,2024
JAWA TENGAH,20369470,2024
DI YOGYAKARTA,21258970,2024
JAWA TIMUR,21652440,2024
BALI,28136720,2024
NUSA TENGGARA BARAT,24440670,2024
NUSA TENGGARA TIMUR,21868260,2024
KALIMANTAN BARAT,27026160,2024
KALIMANTAN TENGAH,32616160,2024
KALIMANTAN SELATAN,32828120,2024
KALIMANTAN TIMUR,33608580,2024
KALIMANTAN UTARA,33616530,2024
SULAWESI TENGAH,27366980,2024
SULAWESI TENGGARA,28859640,2024
SULAWESI UTARA,35450000,2024
SULAWESI SELATAN,34342980,2024
GORONTALO,30251000,2024
SULAWESI BARAT,29149580,2024
MALUKU,29499530,2024
MALUKU UTARA,32000000,2024
PAPUA,40242700,2024
PAPUA BARAT,33930000,2024
PAPUA TENGAH,40242700,2024
PAPUA PEGUNUNGAN,40242700,2024
PAPUA BARAT DAYA,40242700,2024
PAPUA SELATAN,40242700,2024
INDONESIA,311335985,2024
ACEH,36856150,2025
SUMATERA UTARA,29925990,2025
SUMATERA BARAT,29941930,2025
SUMATERA SELATAN,36815700,2025
KEP. RIAU,36236530,2025
RIAU,35087750,2025
LAMPUNG,28930690,2025
BENGKULU,26700390,2025
JAMBI,32345330,2025
KEP. BANGKA BELITUNG,38766000,2025
BANTEN,29051190,2025
DKI JAKARTA,53967600,2025
JAWA BARAT,21912320,2025
JAWA TENGAH,21693480,2025
DI YOGYAKARTA,22640800,2025
JAWA TIMUR,23059840,2025
BALI,29965600,2025
NUSA TENGGARA BARAT,26029310,2025
NUSA TENGGARA TIMUR,23289690,2025
KALIMANTAN BARAT,28782860,2025
KALIMANTAN TENGAH,34736210,2025
KALIMANTAN SELATAN,34961940,2025
KALIMANTAN UTARA,35801600,2025
KALIMANTAN TIMUR,35793130,2025
SULAWESI UTARA,37754250,2025
SULAWESI TENGAH,29145830,2025
SULAWESI TENGGARA,30735510,2025
SULAWESI SELATAN,36575270,2025
SULAWESI BARAT,31044300,2025
GORONTALO,32217310,2025
MALUKU UTARA,34080000,2025
MALUKU,31416990,2025
PAPUA,42858480,2025
PAPUA BARAT,36150000,2025
PAPUA TENGAH,42858480,2025
PAPUA BARAT DAYA,36150000,2025
PAPUA PEGUNUNGAN,42858480,2025
PAPUA SELATAN,42858480,2025
INDONESIA,33157280,2025
